"","x"
"1",75
"2",88
"3",86
"4",84
"5",80
"6",70
"7",79
"8",69
"9",77
"10",83
"11",65
"12",91
"13",82
"14",85
"15",87
"16",84
"17",82
"18",87
"19",90
"20",98
"21",92
"22",79
"23",87
"24",85
"25",79
"26",85
"27",88
"28",90
"29",83
"30",94
"31",91
"32",87
"33",90
"34",76
"35",88
"36",86
"37",85
"38",82
"39",91
"40",91
"41",84
"42",76
"43",81
"44",80
"45",86
"46",83
"47",82
"48",78
"49",89
"50",74
