"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",18.8,18.8,25.6,34.8,40,48,54.4,78.4
"2",20.4,28.8,45.6,43.6,31.2,40.4,61.2,68.4
"3",27.2,28.8,31.2,40.8,39.6,52.8,56,65.2
"4",22.8,30.4,24.4,34.4,47.6,48.8,48,72.8
"5",26.4,27.6,37.6,34.4,42.4,57.6,48.4,63.2
"6",24,32.8,29.6,40,42.8,54.8,55.2,66.4
"7",28,36.4,26.4,40.4,42.4,52.4,53.2,72
"8",33.6,29.6,31.6,32.4,42.4,55.2,60,59.6
"9",22.8,34,38.4,33.6,43.2,48.8,52.8,69.2
"10",25.6,32,32.4,39.6,38,48.4,51.2,73.6
